"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Open Access","Citations count","Google Scholar ID","PubMed ID","PMC ID","References","Grants","arXiv ID","Updated Date","Primary Category","Categories","Source","Relevance","Abstract"
"The Institutional and External Factors Behind the Switch of a Country's Economic Growth Strategy. The Case of the Brazilian Economic Policy","https://scispace.com/papers/the-institutional-and-external-factors-behind-the-switch-of-1r3pbla0dm","2015","Journal Article","International Journal of Management and Economics","Marta Czarnecka-Gallas","10.1515/IJME-2015-0016","https://scispace.com/pdf/the-institutional-and-external-factors-behind-the-switch-of-1r3pbla0dm.pdf","Yes","","","","","","","","","","","SciSpace Full Text","- **Relevance Score:** 93/100 - **Relevance Tag:** Highly Relevant - **Reasoning:** Uses Brazil's export‑promotion history to illustrate industrial regulation and policy design, linking regulatory tools to national strategy; offers historical depth, limited cross‑country comparison.","One of the most important tasks for Brazil after the Second World War was to change the structure of its economy. Due to a relatively low level of domestic industry, consecutive governments found industrialization the main priority and focused on industrial policy to foster that process. One can argue that industrial policy was the core element of Brazilian economic policy throughout the post-war period, until the liberalization reforms of the 1980 s. Political and economic traditions, together with rapid changes in global economy over the last decades, have had a huge impact on more recent Brazilian economic policy. On one hand, the country has kept looking back to the protectionist practices that have shaped its economy since the emergence of the modern Brazilian state, on the other, Brazil’s ambition is to become a leading emerging economy and serious partner in the developed world. A dual development track, and continuous inner-conflict between protectionism and liberalism, is clearly visible in Brazilian economic policy and often leads to contradictory measures being taken by successive governments. The objectives of the article is to provide a contextualized analysis of the evolution of Brazil’s economic growth strategy, with a particular focus on the role of economic and political traditions, and institutions."
"Environmental Regulation and Automotive Industrial Policies in Brazil: The Case of INOVAR-AUTO","https://scispace.com/papers/environmental-regulation-and-automotive-industrial-policies-22ylp5dpnx","2013","Journal Article","Law and Business Review of the Americas","José Marcos Domingues
Luiz Artur Pecorelli-Peres
Ronaldo Seroa da Motta","","https://scispace.com/pdf/environmental-regulation-and-automotive-industrial-policies-22ylp5dpnx.pdf","Yes","","","","","","","","","","","SciSpace","- **Relevance Score:** 92/100 - **Relevance Tag:** Highly Relevant - **Reasoning:** Uses Brazil's INOVAR-AUTO fiscal‑incentive scheme to analyze automotive emission targets, designs policy tools (feebates, tax fund) and evaluates implementation, linking industry regulation with national policy; includes brief law‑history but no cross‑country comparison.","The Brazilian Government has recently pursued policies aimed to increase the country's international competitiveness, particularly towards the industrial sector. In September 2012, a new law was passed in Congress creating several fiscal incentives to promote technological innovation for industrial activities. With this law, a new automotive regime was designed (INO VAR-A UTO program) in which a large reduction (up to 30 percent) of the federal value added tax (IPI) was granted in exchange for producers complying with innovation targets for all light-duty vehicles based on several requirements for domestic production content, safety, and emission targets during the period between 2013 and 2017. The emission standards target is modest in international terms, although the new regulation seems to be efficient and incentive compatible. This paper will first describe the emission profile of the Brazilian automobile fleet. Then, it will analyze, in detail, the emission component of the INOVAR-A UTO program. Additionally, the article explains the technological reasons for which the INOVA R-A UTO has design gaps where battery electric vehicles (BEVs) are treated without differentiation. In fact, it is considered essential and it must take into account the highly renewable Brazilian electric matrix in contrast with its inefficient transportation matrix, which is very concentrated on * Jos6 Marcos Domingues is a Professor of Public Finance Law at Rio de Janeiro State University (UERJ); Coordinator, Laboratory of Public Policies and Fiscal Fairness (LAPPJUS-UERJ) and an Associate Professor, Catholic University of Petr6polis, Rio de Janeiro (UCP). E-mail address: dominguesjm@hotmail.com. Jos6 Marcos Domingues thanks FAPERJ-Rio de Janeiro State Research Support Agency for the financial aid extended to this project. ** Luiz Artur Pecorelli-Peres is an Associate Professor of Eletromechanical Energy Conversion at Rio de Janeiro State University (UERJ); Coordinator, Electric Vehicle Studies Group (GRUVE-UERJ). Luiz Artur Pecorelli Peres expresses his gratitude to the National Electric Energy Agency-ANEEL and to Ampla Energy and Services, especially their managers Weules Correia, Victor Gomes, and Flavio Soares for their support to produce chapter two and three of this work. * Ronaldo Seroa-da-Motta is an Associate Professor of Environmental Economics at Rio de Janeiro State University (UERJ). Ronaldo Seroa da Motta thanks CNPq-National Council for Research within the scope of Project CNPq 509.146/ 2010. 400 LAW AND BUSINESS REVIEW OF THE AMERICAS [Vol. 20 road vehicles based on internal combustion vehicles (ICVs). A new classification is proposed for vehicle propulsion systems, along with a graphical tool in order to better identify sustainability indicators. These tools are employed to justify a specific plan for BEVs considering the formation of a fund with a small taxation on ICVs aimed at lowering the costs of the most expensive component of BEVs-its electrochemical energy source. Based on that, the article proposes how to improve the design of regulatory and fiscal policies in Brazil to exploit the synergies with INOVAR-A UTO to set a basis for new pathways of emission reduction in the Brazilian automobile fleet, including the introduction of alternative instruments, such as feebate programs, and how they could create the basis for the promotion of Electric Vehicles (EVs) in Brazil."
"Industrial upgrade, economic catch-up and industrial policy in Brazil: general trends and the specific case of the mining industry","https://scispace.com/papers/industrial-upgrade-economic-catch-up-and-industrial-policy-59z4uivpn7","2019","Journal Article","Nova Economia","Renato Garcia
Ulisses Pereira dos Santos
Wilson Suzigan","10.1590/0103-6351/6244","https://scispace.com/pdf/industrial-upgrade-economic-catch-up-and-industrial-policy-59z4uivpn7.pdf","Yes","","","","","","","","","","","SciSpace Full Text","- **Relevance Score:** 92/100 - **Relevance Tag:** Highly Relevant - **Reasoning:** Uses Brazil's PDP case to illustrate industrial policy design, implementation, and sectoral regulation, especially in mining; limited historical depth; no cross‑country comparison.","The aim of this paper is to analyze the role of industrial policy in promoting technological upgrading in Brazil. To do that, we focus on the main characteristics of the Brazilian national innovation system and the role of its institutions. We examine whether industrial policy implemented between 2003 and 2014 was able to promote changes in agents’ conventions towards more vigorous strategies linked to technological upgrading and catch-up. In addition, we analyze the Brazilian mining industry, a sector in which Brazil has developed relevant competitive advantages in international markets, and in which domestic agents have built important operational capabilities. Main results show the huge difficulties faced by industrial policy efforts in establishing mechanisms to drive technological catch-up, based on the unsuccessful experiences of policies in the years 2002 to 2014. The specific experience of the Brazilian mining industry confirms these general findings, since domestic mining companies were not able to create new technological capabilities, even during the commodity price boom period."
"From industrial policy to regional and local locational policy: experience from Santa Catarina/Brazil","https://www.sciencedirect.com/science/article/pii/S0261305099000042","1999","Journal Article","Bulletin of Latin American Research","Jog Rg Meyer-Stamer","10.1111/J.1470-9856.1999.TB00145.X","","No","37","wYcdJCtOHNMJ","","","","","","","","","Google Scholar","- **Relevance Score:** 92/100 - **Relevance Tag:** Highly Relevant - **Reasoning:** Uses Santa Catarina case to illustrate Brazil's industrial policy design and implementation; links policy to regulation but focuses on policy rather than detailed regulatory rules; offers some historical context, no cross‑country comparison.",""
"Política industrial e tecnológica e desenvolvimento","https://scispace.com/papers/politica-industrial-e-tecnologica-e-desenvolvimento-1k4mfultly","2004","Posted Content","","José Matias-Pereira","","https://scispace.com/pdf/politica-industrial-e-tecnologica-e-desenvolvimento-1k4mfultly.pdf","Yes","","","","","","","","","","","SciSpace Full Text","- **Relevance Score:** 92/100 - **Relevance Tag:** Highly Relevant - **Reasoning:** Analyzes Brazil's industrial policy and regulation, linking design and implementation to development; offers limited historical context and no cross‑country comparison.","We have as objective in this article to deepen the quarrel on the necessity of Brazil to construct to a modern industrial and technological politics, having as base the knowledge and the technological innovation, to act as inductive of the economic development. The work is supported in authors of distinct theories on subject (SCHUMPETER, 1961; PAVITT, 1998; FREEMAN et. al. 1988, 1994; KRUGMAN, 1986; COUTINHO, 1990), as well as in the Norms of Industrial, Technological Politics and of Foreign commerce (MDIC, 2004), that it searchs to define a new model of industrial politics, technological and of foreign commerce for Brazil. The examination of documents and selected studies evidenced, of reasonable form, that the industrial politics assumes a strategical role to the measure that allows the coordination of the productive agents whom they need to take decisions crucial as to invest and/or to innovate in a full of uncertainties how many to the future results of its decisions. We conclude that, is basic that the country defines one modern industrial politics, that incorporates the incentive to the innovation and the exportations, serving as well as instrument of stimulation to the development of the country. To the end, we argue that, the implementation of this politics will be conditional the capacity of the State in to make use of diverse instruments, such as: regulation, politics of purchases, financing and tax incentives"
"Catching up and Falling behind: An Appraisal of Brazilian Industrial Policy in the Twenty-First Century","https://scispace.com/papers/catching-up-and-falling-behind-an-appraisal-of-brazilian-3zliki5n5d","2016","Journal Article","European Review of Latin American and Caribbean Studies","Yuri Kasahara
Antonio José Junqueira Botelho","10.18352/ERLACS.10141","https://scispace.com/pdf/catching-up-and-falling-behind-an-appraisal-of-brazilian-3zliki5n5d.pdf","Yes","","","","","","","","","","","SciSpace Full Text","- **Relevance Score:** 92/100 - **Relevance Tag:** Highly Relevant - **Reasoning:** Analyzes Brazil’s industrial policy and its design/implementation; uses sectoral case (informatics) to illustrate regulation tools; offers historical trend data; lacks cross‑country comparison.","Amidst analyses of industrial policy’s renaissance in Latin America, Brazil is often hailed as the paragon of this movement. The mix of old and new institutions and instruments would constitute a unique effort in promoting industrial development in the post-neoliberal period. However, this experience has been followed by middling results of industrial performance. Reviewing an emerging literature about the institutionalization and results of the Brazilian industrial policy, we argue that important aspects of path-dependency have been ignored. Organizational and ideational resistance have led to a much more traditional and conservative industrial policy than would be expected. Grounded historical analysis about intra-government conflicts, combined with studies about policy and sectoral developments, could give us elements to better assess the failures and achievements of the Brazilian case. Resumen: Avances y retrocesos: Una evaluacion de la politica industrial brasilena en el siglo XXI A la luz de diversos analisis sobre el renacimiento de la politica industrial en America Latina, Brasil es frecuentemente alabado como el pais arquetipo de la mencionada coyuntura. La combinacion de instituciones e instrumentos antiguos y modernos constituiria un singular esfuerzo para promover el desarrollo industrial en el periodo post-neoliberal. Sin embargo, la consecucion de dicha experiencia fueron mediocres resultados de actividad industrial. Habiendo efectuado un examen de reciente literatura sobre la institucionalizacion y los resultados de la politica industrial brasilena, sostenemos que, en dicho material, han sido ignorados importantes aspectos de la dependencia de la trayectoria (path-dependency). Resistencia organizativa y de formacion de ideas han conducido a la implementacion de una politica industrial mucho mas tradicional y conservadora de lo que se hubiera esperado. Un profundo analisis historico acerca de conflictos intergubernamentales, combinado con estudios sobre politica y evoluciones sectoriales pueden ofrecernos instrumentos para evaluar mas eficazmente los fallos y los logros del caso brasileno."
"Retomando o Debate: A Nova Política Industrial do Governo Lula","https://scispace.com/papers/retomando-o-debate-a-nova-politica-industrial-do-governo-pdsefdcvut","2009","","","Max Benjoino Ferraz","","https://scispace.com/pdf/retomando-o-debate-a-nova-politica-industrial-do-governo-pdsefdcvut.pdf","Yes","","","","","","","","","","","SciSpace Full Text","- **Relevance Score:** 91/100 - **Relevance Tag:** Highly Relevant - **Reasoning:** Uses detailed Brazilian industrial policy history to examine regulation, reforms, and implementation; lacks cross‑country comparison.","O presente trabalho tem o intuito de descrever a nova politica industrial anunciada no atual governo do presidente Luiz Inacio Lula da Silva, bem como esbocar algumas consideracoes preliminares sobre a mesma. Tal politica pode ser caracterizada por outras duas: a Politica Industrial, Tecnologica e de Comercio Exterior (Pitce), de 2004; e sua continuacao, a Politica de Desenvolvimento Produtivo (PDP), de 2008.Para consecucao da tarefa supracitada, o estudo procura retomar o debate sobre a politica industrial no Brasil, delineando alguns aspectos gerais associados ao tema, apontando as principais contribuicoes teoricas relacionadas e realizando uma breve reconstituicao historica da experiencia brasileira com politica industrial. Ao final do artigo, espera-se que o leitor tenha obtido maior familiaridade com o assunto e esteja apto a assumir uma posicao frente ao debate, o qual se revela extremamente atual ante as medidas anunciadas recentemente pelo governo brasileiro."
"The Efficiency of Industrial Policy in 21st Century? The Case of Brazil","https://scispace.com/papers/the-efficiency-of-industrial-policy-in-21st-century-the-case-1ctzo30x9u","2013","Journal Article","","Marta Czarnecka-Gallas","10.33119/GN/100925","https://scispace.com/pdf/the-efficiency-of-industrial-policy-in-21st-century-the-case-1ctzo30x9u.pdf","Yes","","","","","","","","","","","SciSpace Full Text","- **Relevance Score:** 91/100 - **Relevance Tag:** Highly Relevant - **Reasoning:** Uses Brazil's 20th‑century industrial policy history to evaluate subsidies, tariffs, and protective measures, linking regulation and policy design; lacks direct cross‑country comparison.","Summary: The article aims to identify the key factors that undermine the efficiency of industrial policy in Brazil. It also draws attention to the importance of academic research into the nature and implications of industrial policy in the modern economy. The analysis starts with a systematization of industrial policy-related terms and a literature review. Because discussions on the topic are usually ideologically-biased, the author says, most of the existing studies are heavily polarized. Some economists strongly advocate governmental industrial programs, others express definite disapproval. The article contributes to the existing research by outlining key theoretical problems related to industrial policy and by highlighting the different approaches to the subject that have emerged in response to the changing paradigm of state interventionism. In light of the theoretical framework, Brazilian industrial policy is studied. Brazil warrants special attention, Czarnecka-Gallas says, because a historical analysis of government intervention in that economy confirms the importance of industrial policy – despite substantial policy changes and different methods used by the authorities over the years. After a brief summary of how industrial policy was applied in Brazil in the postwar era, the author looks at some vital components of the country’s current industrial strategy and confronts it with empirical data that point to a disparity between official goals and practice. As a consequence, in contrast to the strategy of Brazil’s economic development, which is based on industrial growth and innovation enhancement, the structure of the country’s economy and its trade patterns show that it is commodities and low-tech industries rather than innovative sectors that are driving the expansion of Brazil’s trade, the author says."
"Regional industrial policy in the wind energy sector: The case of the State of Rio Grande do Sul, Brazil","https://www.sciencedirect.com/science/article/pii/S0301421517305554","2017","Journal Article","Energy Policy","Vivian Sebben Adami
José Antônio Valle Antunes Júnior
Miguel Afonso Sellitto","10.1016/J.ENPOL.2017.08.050","https://www.academia.edu/download/81508951/94788.pdf","No","56","rmKkiKkQRFIJ","","","","","","","","","Google Scholar","- **Relevance Score:** 90/100 - **Relevance Tag:** Highly Relevant - **Reasoning:** Uses a case study of Rio Grande do Sul to examine Brazil's wind‑energy industrial policy, detailing regulatory design and implementation, but lacks historical depth and cross‑country comparison.",""
"Competitividad industrial en Brasil 10 años después de la liberalización","https://scispace.com/papers/competitividad-industrial-en-brasil-10-anos-despues-de-la-471ppmuchv","2004","Journal Article","","João Carlos Ferraz
David Kupfer
Mariana Iootty","10.18356/A304EA3A-ES","https://scispace.com/pdf/competitividad-industrial-en-brasil-10-anos-despues-de-la-471ppmuchv.pdf","Yes","26","","","","","","","","","","SciSpace","- **Relevance Score:** 88/100 - **Relevance Tag:** Highly Relevant - **Reasoning:** Analyzes Brazil's post‑liberalization industrial reforms, linking regulatory changes to policy design and implementation; provides a decade‑long historical view but lacks cross‑country comparison.","En este articulo se analiza la naturaleza y extension de las reformas en la industria brasilena tras 10 anos de liberalizacion economica. Se demuestra que la mayoria de las caracteristicas estructurales de dicha industria no ha sufrido modificaciones, excepto en la gestion de los procesos productivos y la propiedad del capital de las empresas, mientras que la racionalizacion y la internacionalizacion ""hacia adentro"" se han generalizado. Brasil puede llegar a enfrentar una situacion paradojica respecto de su desarrollo futuro. La historia indica que el capital local y la capacidad en innovacion han sido caracteristicas destacadas en los paises que han logrado alcanzar un desarrollo economico sostenido. Si la internacionalizacion del capital de las empresas ha de mantenerse y si han de buscarse las capacidades locales de innovacion, los responsables tanto publicos como privados de formular la politica en Brasil, deberan apartarse de las practicas politicas establecidas y orientarse hacia nuevas formas de regulacion y de estimulo a las empresas para la creacion de valor local."
"Política industrial e desenvolvimento","https://scispace.com/papers/politica-industrial-e-desenvolvimento-2au82dlal8","2006","Journal Article","Revista de Economia Política","Wilson Suzigan
João Furtado","10.1590/S0101-31572006000200001","https://scispace.com/pdf/politica-industrial-e-desenvolvimento-2au82dlal8.pdf","Yes","126","","","","","","","","","","SciSpace","- **Relevance Score:** 88/100 - **Relevance Tag:** Highly Relevant - **Reasoning:** Uses Brazil‑specific policy history to evaluate industrial policy; discusses innovation‑driven regulation but lacks sector‑by‑sector regulatory detail; no cross‑country comparison.","Industrial Policy and Development. This paper aims at contributing to the debate on industrial policy and economic development in Brazil. At first, theoretical approaches that support industrial policy-making are discussed, with emphasis on the neoschumpeterian/evolutionary approach, which focuses on innovation as prime mover of economic development and on the co-evolution of technologies, institutions, and industries and firms structures. Next, such an approach is applied to explain some successful experiences of industrial policy-making and economic development in Brazil up to the end of the 1970s, and the failures to implement such a policy from the 1980s onwards. Finally, the present government industrial policy is evaluated, arguing that although it has some positive aspects like the focus on innovation, clearly defined targets and a new institutional organization, it fails as an economic development policy because of weaknesses such as incompatibility with macroeconomic policy, inconsistencies of policy instruments, deficiencies in infrastructure and in the science, technology and innovation system, and lack of coordination and political drive."
"Competitividad industrial en Brasil 10 años después de la liberalización (pdf 587 kb)João Carlos Ferraz, David Kupfer y Mariana Iootty","https://scispace.com/papers/competitividad-industrial-en-brasil-10-anos-despues-de-la-44jgy2yj9s","2003","","","David Kupfer
Mariana Ioott
João Carlos Ferraz","","","Yes","","","","","","","","","","","SciSpace","- **Relevance Score:** 88/100 - **Relevance Tag:** Highly Relevant - **Reasoning:** Analyzes Brazil's post‑liberalization industrial reforms, linking regulation changes to policy design and implementation, with a decade‑long historical view; no cross‑country comparison.","En este articulo se analiza la naturaleza y extension de las reformas en la industria brasilena tras 10 anos de liberalizacion economica. Se demuestra que la mayoria de las caracteristicas estructurales de dicha industria no ha sufrido modificaciones, excepto en la gestion de los procesos productivos y la propiedad del capital de las empresas, mientras que la racionalizacion y la internacionalizacion ""hacia adentro"" se han generalizado. Brasil puede llegar a enfrentar una situacion paradojica respecto de su desarrollo futuro. La historia indica que el capital local y la capacidad en innovacion han sido caracteristicas destacadas en los paises que han logrado alcanzar un desarrollo economico sostenido. Si la internacionalizacion del capital de las empresas ha de mantenerse y si han de buscarse las capacidades locales de innovacion, los responsables tanto publicos como privados de formular la politica en Brasil, deberan apartarse de las practicas politicas establecidas y orientarse hacia nuevas formas de regulacion y de estimulo a las empresas para la creacion de valor local."
"Brazilian Regulatory Framework: From the Past to the Expectations About the Future","https://scispace.com/papers/brazilian-regulatory-framework-from-the-past-to-the-wvhve5pb9c","2019","Proceedings Article","","Marcelo Amorim Bastos
Jorge Luiz Bastos","10.4043/29834-MS","","No","","","","","","","","","","","SciSpace","- **Relevance Score:** 88/100 - **Relevance Tag:** Highly Relevant - **Reasoning:** Uses Brazil's oil‑gas regulatory history to trace policy reforms, detailing industrial regulation mechanisms and their evolution, but does not compare with other countries.","Brazil is one of the most prominent oil and gas offshore market. Recently, investors’ interest has increased, but not only because of the oil price recovery and pre-salt discoveries, but maybe also because of important changes in the regulatory side. Several issues have been discussed by authorities with the industry: local content flexibilization, unitization agreements, multiple fiscal regimes (PSA, Concessions, and Transfer of Rights Agreements), Repetro customs regime, decommissioning regulations, among other topics. To understand this environment is important to look at the changes and the history since the beginning, besides the economic and political forces which influence the decisions. In addition, Brazil 2018 elections have changed the direction and perspectives for this important economic sector. In this paper, the authors describe the evolution of the regulation, the contract models and results of bid rounds in order to tracking the effects of the past decisions. It can help to find clues about which should be the next steps in terms of new regulations for the Brazilian market."
"Politics within the state: elite bureaucrats and industrial policy in authoritarian Brazil","https://search.proquest.com/openview/1ff8447113f9a91fed2a94ea00e6166a/1?pq-origsite=gscholar&cbl=18750&diss=y","1993","Journal Article","Industrial and Labor Relations Review","Ben Ross Schneider","10.2307/2524242","","No","358","VG3E55FB6JEJ","","","","","","","","","SciSpace","- **Relevance Score:** 88/100 - **Relevance Tag:** Highly Relevant - **Reasoning:** Uses Brazil's authoritarian bureaucracy to explain industrial policy outcomes; analyzes 1970s‑80s projects, showing how political appointments shape regulation and implementation; provides a historical lens but no cross‑country comparison.","Brazil was one of the most successful examples of state-led industrialization in the post-1945 era. Yet the Brazilian bureaucracy is very fragmented, personalized, and ad hoc. Turnover is high, all policy-relevant positions are subject to political appointment, and officials spend only a short time in positions for which they often lack expertise. How can such a state function, let alone foster rapid economic transformation? To solve this riddle, Ben Ross Schneider looks beyond the traditional models of organizational behaviour and bureaucratic politics. To explain when and why the Brazilian bureaucracy contributes to industrialization, he analyzes career patterns and appointments which structure incentives and power more than formal organizations or institutions. Politics and personalism, of the right sort, can in fact enhance policy effectiveness and state capacity. Using a survey of the careers of 281 high officials and case studies of four major industrial projects in the 1970s and 1980s (including Acominas and Carajas), Professor Schneider opens up the ""black box of the state"". This empirical work aims to help revise prevailing interpretations of Brazilian authoritarianism. His alternative careerist approach challenges conventional theories in the comparative study of bureaucracy."
"Políticas industriales para revertir la desindustrialización prematura de la economía brasileña: una agenda para la discusión de políticas","https://scispace.com/papers/politicas-industriales-para-revertir-la-desindustrializacion-4apo0h68xu","2024","Journal Article","International review of economic policy =","Lívia Sousa
José Luís Oreiro","10.7203/irep.6.1.29171","","No","","","","","","","","","","","SciSpace","- **Relevance Score:** 87/100 - **Relevance Tag:** Highly Relevant - **Reasoning:** Uses Brazil's manufacturing history to propose a forward‑looking industrial policy agenda; offers policy design insights and links regulation to national strategy, with some comparative references.","Este artículo explora la trayectoria del sector manufacturero brasileño, centrándose en el proceso de desindustrialización, y profundizando en la evolución histórica de las políticas industriales, especialmente las iniciativas más recientes, que se remontan al primer gobierno de Lula a principios del siglo XXI, y sus resultados. El documento aboga por una agenda estratégica de política industrial diseñada para llevar a Brasil hacia la reindustrialización, fomentando así un crecimiento económico sostenido y de largo plazo. Al analizar el historial histórico del sector manufacturero y examinar la agenda de política industrial predominante en Brasil, junto con las ideas de algunas naciones desarrolladas que buscan activamente la reindustrialización, este estudio propone un plan de política industrial con visión de futuro. Diseñado para abordar los desafíos y oportunidades únicos de Brasil, el documento sirve como una hoja de ruta para los formuladores de políticas y ofrece recomendaciones prácticas para revitalizar el panorama industrial. En resumen, el artículo desentraña las complejidades del sector manufacturero, ofreciendo una mejor comprensión de la desindustrialización, las agendas de política industrial y sus tendencias, tanto para Brasil como a nivel mundial, proporcionando un plan de política industrial proactivo para el país. Este examen multifacético proporciona información valiosa para los formuladores de políticas y las partes interesadas, facilitando una toma de decisiones bien informada para que el país recupere un crecimiento económico sostenible."
"Novos arranjos institucionais na renovação da política industrial brasileira","https://scispace.com/papers/novos-arranjos-institucionais-na-renovacao-da-politica-ah1h6c1mv9","2006","","","Jackson De Toni","","https://revistas.planejamento.rs.gov.br/index.php/ensaios/article/download/2132/2515","Yes","","","","","","","","","","","SciSpace","- **Relevance Score:** 86/100 - **Relevance Tag:** Highly Relevant - **Reasoning:** Uses 2003 Guidelines and new agency to illustrate Brazil's industrial policy redesign, focusing on regulatory institutions and implementation, with limited historical depth and no cross‑country comparison.","In 2003, the Brazilian government announced the Guidelines for Industrial, Technological and Trade Policies. The purpose of these guidelines was to develop a new set of industrial policies that were supposed to be implemented in a context of strong fiscal restriction, economic internationalization and privatization of the instruments of intervention of the national State in the productive sector. The implementation of these new Guidelines demanded a new institution environment; therefore, by the end of 2004, the National Congress approved the creation of the Brazilian Agency of Industrial Development. With a hybrid juridical nature and central coordinating functions this institutional solution innovates as compared to the previous experiences of industrial policies. The purpose of this article is to describe and analyze this process in the context of the theoretical trajectory that involves the industrial policy, in the current economic conjuncture and the institutional challenges for the new policies."
"Comments on “New Thinking on Industrial Policy: Country Case Studies of Successful and Unsuccessful Industrial Policies — The Return of Industrial Policy in Brazil”","https://scispace.com/papers/comments-on-new-thinking-on-industrial-policy-country-case-1ei27meif2","2012","Book Chapter","","Volker Treichel","10.1057/9781137335173_21","","No","","","","","","","","","","","SciSpace","- **Relevance Score:** 86/100 - **Relevance Tag:** Highly Relevant - **Reasoning:** Uses Brazil's growth and poverty data to illustrate industrial policy impact; discusses policy design and implementation; links regulation to national strategy; offers limited historical context; no cross‑country comparison.","I am grateful for the opportunity to comment on this paper discussing industrial policy and Brazil’s economic development. Over the past ten years, Brazil has made remarkable progress in achieving macroeconomic stability and high growth, while at the same time markedly reducing poverty. Indeed, over the period 2004–10 growth more than doubled to over 4.2 percent (from about 1.9 percent during the period 1996–2003), while inflation fell sharply from a peak of 15 percent in 2003 to an average of 3 to 5 percent during 2004–10. Most remarkably, poverty declined from 35 percent in 2000 to 22 percent in 2009. The paper draws appropriate attention to the role that industrial policy has played in fostering growth and to the need for sound principles of implementation to effect the expected results."
"Brazilian Industrial Policy: A Cluster Analysis of the Challenges Facing the National Industry and Policies Adopted from 2004 to 2018","https://scispace.com/papers/brazilian-industrial-policy-a-cluster-analysis-of-the-vw8m321cpnx2","","","","Rogerio Cesar Corgosinhol
Cristina Lelis Leal Calegario
Claudio Roberto Carissimo
Sheldon William Silva","10.5020/2318-0722.2020.27.2.11329","","No","","","","","","","","","","","SciSpace","- **Relevance Score:** 86/100 - **Relevance Tag:** Highly Relevant - **Reasoning:** Uses Brazilian industrial policy data (2004‑2018) to assess alignment with sector challenges, evaluates policy design and outcomes; limited historical depth, no cross‑country comparison.","After a period focused on macroeconomic stability measures, industrial policies were resumed by Brazil from 2004; however, with conflicts over the forms, they should take. Some theories defend them only to heal market failures, while others understand them as a driving force behind the economy. Both need to meet the challenges faced by the industry in Brazil. Therefore, the purpose of this article was to assess if industrial policies created by Brazil from 2004 to 2018 are aligned with the challenges faced by the industrial sector. The period analyzed portrays the cycle of resumption of industrial policies, starting with the Industrial, Technological, and Foreign Trade Policy (PITCE) in 2004, ending with Route 2030, in the year 2018. The study used the multivariate analysis of clusters (agglomerates) and crosstabs (crossing tables) for 19 industrial sectors, which were grouped in the first year of industrial policies according to the performance observed in their economic factors, such as sales, exports, and innovations, among others. The most representative group was verified, and the challenges faced by them were evaluated, as well as the objectives proposed by industrial policies. The results showed that the national industry problems were considered by a good part of the policies created in the period. It is believed that this research broadens the view on industrial policies, structuring variables called economic factors, with the potential to measure the country's industrial situation and in the direction of policy construction for the industrial sector."
"Política industrial no Brasil: uma análise das estratégias propostas na experiência recente (2003-2014)","https://lume.ufrgs.br/handle/10183/299147","2015","","","Guilherme de Queiroz Stein
Ronaldo Herrlein Júnior","","https://lume.ufrgs.br/bitstream/handle/10183/299147/001292237.pdf?sequence=1","Yes","51","lSMo5pUMvIsJ","","","","","","","","","SciSpace","- **Relevance Score:** 86/100 - **Relevance Tag:** Highly Relevant - **Reasoning:** Uses Brazil's PT industrial policies (2003‑14) to analyze regulatory instruments, policy design, and implementation; provides limited recent historical view; no foreign comparison.","Neste artigo, discute-se as politicas industriais apresentadas pelos governos do Partido dos Trabalhadores, no periodo entre 2003 e 2014. Problematiza-se o carater dessas politicas e se predominam tracos de continuidade ou mudanca ao longo do tempo. Para orientar a analise, construiu-se tres tipos ideais de politica industrial - Estado Desenvolvimentista, Neoclassico e Neoschumpeteriano – e avaliou-se tres dimensoes: diretrizes e objetivos; instituicoes e processo de tomada de decisoes; instrumentos. As conclusoes apontam a predominância de tracos Neoschumpeterianos e significativa continuidade entre as politicas."
"Recente política industrial brasileira","https://scispace.com/papers/recente-politica-industrial-brasileira-4358ggxdwo","2009","","","Mauricio Canêdo-Pinheiro","","","Yes","","","","","","","","","","","SciSpace","- **Relevance Score:** 83/100 - **Relevance Tag:** Highly Relevant - **Reasoning:** Uses Brazil‑specific policy analysis to detail recent industrial regulation, financing, and procurement mechanisms; lacks historical depth and any cross‑country comparison.","This paper is a brief summary of recent Brazilian industrial policy, particularly with regard to capital investment and innovation activities, with emphasis on the latter. The public support to R & D activities increased in recent years, mainly due to more active participation of the BNDES and the creation of new mechanisms for financing innovation within the company. From the standpoint of investment, much of the action is horizontal, but there is some support to 'traditional' industries and use of government procurement to encourage the development of certain sectors. It is argued that the latter the costs of those two measures should be explained. Moreover, we must develop institutions that allow us to define and pursue goals that span the electoral cycle and evaluate public policies in terms of cause and effect."
